====================================================================================================
Running Python 3.10.12 (main, Jan 26 2026, 14:55:28) [GCC 11.4.0]
Running PyTorch 2.10.0+cu128 compiled for CUDA 12.8
Running Triton version 3.6.0
Fri Feb 20 23:44:09 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 580.126.09             Driver Version: 580.126.09     CUDA Version: 13.0     |
+-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H100 80GB HBM3          On  |   00000000:04:00.0 Off |                  Off |
| N/A   26C    P0            111W /  700W |    1185MiB /  81559MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+

+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|    0   N/A  N/A           16846      C   /usr/bin/python3                       1176MiB |
+-----------------------------------------------------------------------------------------+

====================================================================================================
Compiling model and warming up kernels (~7 minutes on first execution)
Sampling steps [0, 1, 338, 339, 340, 341, 678, 679, 680, 681, 1018, 1019, 1020, 1021] for warmup
Resetting Model
step:198/1530, train_time:46.8ms, step_avg:236.44ms, train loss:68.40,  lr:1.00
step:199/1530, train_time:47.1ms, step_avg:236.45ms, train loss:67.43,  lr:1.00
step:200/1530, train_time:47.3ms, step_avg:236.45ms, train loss:68.93,  lr:1.00
step:200/1530 val_loss:4.6063 train_time:47302ms step_avg:236.51ms
step:201/1530, train_time:47.5ms, step_avg:236.46ms, train loss:67.99,  lr:1.00
step:202/1530, train_time:47.8ms, step_avg:236.46ms, train loss:68.42,  lr:1.00
step:203/1530, train_time:48.0ms, step_avg:236.47ms, train loss:67.89,  lr:1.00
step:204/1530, train_time:48.2ms, step_avg:236.47ms, train loss:68.03,  lr:1.00
step:205/1530, train_time:48.5ms, step_avg:236.48ms, train loss:68.93,  lr:1.00
step:206/1530, train_time:48.7ms, step_avg:236.47ms, train loss:68.60,  lr:1.00
step:207/1530, train_time:49.0ms, step_avg:236.48ms, train loss:68.64,  lr:1.00
step:208/1530, train_time:49.2ms, step_avg:236.49ms, train loss:67.19,  lr:1.00
step:209/1530, train_time:49.4ms, step_avg:236.49ms, train loss:67.38,  lr:1.00
step:210/1530, train_time:49.7ms, step_avg:236.49ms, train loss:67.82,  lr:1.00
step:211/1530, train_time:49.9ms, step_avg:236.50ms, train loss:67.79,  lr:1.00
step:212/1530, train_time:50.1ms, step_avg:236.50ms, train loss:68.08,  lr:1.00
step:213/1530, train_time:50.4ms, step_avg:236.51ms, train loss:67.10,  lr:1.00
step:214/1530, train_time:50.6ms, step_avg:236.51ms, train loss:67.07,  lr:1.00
step:215/1530, train_time:50.9ms, step_avg:236.51ms, train loss:67.95,  lr:1.00
step:216/1530, train_time:51.1ms, step_avg:236.52ms, train loss:67.18,  lr:1.00
step:217/1530, train_time:51.3ms, step_avg:236.53ms, train loss:68.04,  lr:1.00
step:218/1530, train_time:51.6ms, step_avg:236.53ms, train loss:67.44,  lr:1.00
step:219/1530, train_time:51.8ms, step_avg:236.53ms, train loss:66.59,  lr:1.00
step:220/1530, train_time:52.0ms, step_avg:236.53ms, train loss:67.21,  lr:1.00
step:221/1530, train_time:52.3ms, step_avg:236.54ms, train loss:66.88,  lr:1.00
step:222/1530, train_time:52.5ms, step_avg:236.54ms, train loss:66.78,  lr:1.00
step:223/1530, train_time:52.8ms, step_avg:236.55ms, train loss:66.47,  lr:1.00
step:224/1530, train_time:53.0ms, step_avg:236.56ms, train loss:66.41,  lr:1.00
step:225/1530, train_time:53.2ms, step_avg:236.57ms, train loss:66.73,  lr:1.00
step:226/1530, train_time:53.5ms, step_avg:236.57ms, train loss:67.24,  lr:1.00
step:227/1530, train_time:53.7ms, step_avg:236.57ms, train loss:66.94,  lr:1.00
step:228/1530, train_time:53.9ms, step_avg:236.58ms, train loss:66.38,  lr:1.00
step:229/1530, train_time:54.2ms, step_avg:236.59ms, train loss:66.05,  lr:1.00
step:230/1530, train_time:54.4ms, step_avg:236.59ms, train loss:66.78,  lr:1.00
